,address,driving_time_to_parents
0,Shlomo Kaplanski St. Rishon LeTsiyon,16 - 26 min
1,King George St. Tel Aviv-Yafo,40 min - 1 hr 15 min
2,"Rothschild Boulevard  17,Tel Aviv-Yafo",35 min - 1 hr 5 min
3,"Yoseftal St.  11,Bat Yam",NA
4,Metula St. Ramat Gan,NA
5,Nachmani St. Tel Aviv-Yafo,30 min - 1 hr
6,"Sokolov St.  25,Netanya",NA
7,"Yosef Lapid St.  3,Netanya",
8,Bnei Binyamin St. Netanya,1 hr 5 min - 1 hr 50 min
9,Bnei Binyamin St. Netanya,1 hr 5 min - 1 hr 50 min
10,"Ehud Manor St.  18,Netanya",NA
11,"Gyora Yoseftal St.  22,Ashkelon",40 min - 1 hr 15 min
12,"Matityahu Dankner St.  15,Netanya",1 hr 10 min - 1 hr 50 min
13,"Sderot Hayim Weizman  67,Netanya",1 hr 10 min - 1 hr 50 min
14,Haim Barlev St. Beer Sheva,55 min - 1 hr 25 min
15,"Sderot Menachem Begin  17,Mazkeret Batya",14 - 26 min
16,Dizengoff St. Tel Aviv-Yafo,45 min - 1 hr 20 min
17,"Rabbi Abba Abuchatzira  25,Sderot",55 min - 1 hr 40 min
18,"Ha-Palmakh St.  14,Ashkelon",40 min - 1 hr 5 min
19,Ha-Tsipornim St. Bat Yam,22 - 40 min
20,Shivat Tsiyon St. Ashkelon,40 min - 1 hr 10 min
21,Shvil Hodshey ha-Shana Ashkelon,
22,Arieh St. Ashkelon,40 min - 1 hr 5 min
23,HaYain Road Ashkelon,
24,Sderot David Ben Gurion Ashkelon,40 min - 1 hr 10 min
25,"Uzi Hitman St.  21,Netanya",NA
26,Ephraim Tsur St. Ashkelon,40 min - 1 hr 15 min
27,Reuven St. Ashkelon,40 min - 1 hr 10 min
28,Shimon ha-Tarsi St. Tel Aviv-Yafo,28 - 55 min
29,Sirkin St. Tel Aviv-Yafo,40 min - 1 hr 15 min
30,HaYarkon St. Tel Aviv-Yafo,NA
31,Ha-Tsiyonut St. Holon,24 - 40 min
32,Simkha Yaakobzon St. Rishon LeTsiyon,22 - 45 min
33,Rambam St. Tel Aviv-Yafo,35 min - 1 hr 5 min
34,"Ha-Kormim St.  14,Rishon LeTsiyon",18 - 35 min
35,"HaKukiya St.  2,Rishon LeTsiyon",NA
36,Kaf Tet be-November St. Jerusalem,50 min - 1 hr 40 min
37,Derech HaZayit Kfar Shmuel,20 - 35 min
38,Shulamit Aloni St. Rishon LeTsiyon,18 - 35 min
39,Trumpeldor St. Rishon LeTsiyon,18 - 35 min
40,Natan Bernitski St. Rishon LeTsiyon,16 - 28 min
41,Belkind St. Rishon LeTsiyon,20 - 35 min
42,Harimon St. Rishon LeTsiyon,16 - 28 min
43,Natan Bernitski St. Rishon LeTsiyon,16 - 28 min
44,Abarbanel St. Rishon LeTsiyon,22 - 45 min
45,Tel Hai St. Rishon LeTsiyon,18 - 35 min
46,Hannah U-Michael Levin St. Rishon LeTsiyon,22 - 40 min
47,Balfour St. Bat Yam,
48,"Ha-Brosh St.  3,Beer Yaakov",18 - 40 min
49,"Shalom Aleichem St.  24,Tel Aviv-Yafo",NA
50,"Tiltan St.  6,Tiberias",NA
51,"Tankhum St.  15,Rishon LeTsiyon",20 - 35 min
52,"Olei HaGardom St.  15,Rishon LeTsiyon",NA
53,Eisenband St. Rishon LeTsiyon,22 - 40 min
54,Ein ha-Kore St. Rishon LeTsiyon,NA
55,Ein ha-Kore St. Rishon LeTsiyon,NA
56,Abarbanel St. Rishon LeTsiyon,22 - 45 min
57,Tirat Tsvi St. Rishon LeTsiyon,NA
58,Vigodski St. Rishon LeTsiyon,NA
59,"Yitshak Grinboim St.  34,Netanya",NA
60,Rambam St. Netanya,1 hr 5 min - 1 hr 50 min
61,"Derech Dganya  48,Netanya",NA
62,"HaRav Kuk St.  29,Netanya",NA
63,"Yehuda ha-Nasi St.  27,Netanya",1 hr 10 min - 1 hr 50 min
64,"Derech Ben Gurion  89,Bat Yam",26 - 50 min
65,"Alonim St.  18,Netanya",1 hr 10 min - 1 hr 50 min
66,"Menashe Kapra St.  38,Rehovot",7 - 12 min
67,Ha-Zohar St. Petah Tikva,40 min - 1 hr 5 min
68,Beit Lekhem St. Rishon LeTsiyon,20 - 35 min
69,Pnina U-Moshe St. Rishon LeTsiyon,22 - 40 min
70,HaRav Uziel St. Rishon LeTsiyon,22 - 40 min
71,Rothschild St. Rishon LeTsiyon,16 - 30 min
72,HaShomer St. Rishon LeTsiyon,18 - 35 min
73,HaGdud Haivri St. Rishon LeTsiyon,
74,Ha-Hityashvut St. Rishon LeTsiyon,20 - 40 min
75,Alkalai St. Rishon LeTsiyon,22 - 40 min
76,Carmel St. Rehovot,10 - 20 min
77,Kheil ha-Khimush St. Rishon LeTsiyon,22 - 40 min
78,Ha-Tikva St. Rishon LeTsiyon,18 - 30 min
79,HaBen HaRishon St. Rishon LeTsiyon,16 - 26 min
80,Tchernikhovski St. Rishon LeTsiyon,18 - 35 min
81,Khavakuk St. Rishon LeTsiyon,18 - 35 min
82,Ruppin St. Rishon LeTsiyon,16 - 30 min
83,HaKishon St. Rishon LeTsiyon,
84,Yeverboim St. Rishon LeTsiyon,18 - 30 min
85,Shaar Hagolan St. Rishon LeTsiyon,20 - 35 min
86,Rambam St. Rishon LeTsiyon,22 - 40 min
87,Amzaleg St. Rishon LeTsiyon,18 - 35 min
88,Lubman St. Rishon LeTsiyon,18 - 35 min
89,Vigodski St. Rishon LeTsiyon,20 - 35 min
90,"Berl Katznelson St.  33,Rishon LeTsiyon",16 - 28 min
91,David Wolffsohn St. Rishon LeTsiyon,
92,Imber St. Rishon LeTsiyon,18 - 35 min
93,Binyamin St. Rehovot,7 - 12 min
94,Abarbanel St. Rishon LeTsiyon,22 - 45 min
95,Imber St. Rishon LeTsiyon,18 - 35 min
96,Max Nordau St. Rehovot,7 - 12 min
97,Ha-Iris St. Rishon LeTsiyon,18 - 35 min
98,Ha-Akhim Ostashinski St. Rishon LeTsiyon,16 - 30 min
99,Kiryat Sefer St. Rishon LeTsiyon,18 - 35 min
100,Jerusalem St. Rishon LeTsiyon,20 - 40 min
101,Kiryat Sefer St. Rishon LeTsiyon,18 - 35 min
102,HaMegila St. Rishon LeTsiyon,22 - 40 min
103,"HaPardes HaRishon St.  31,Rishon LeTsiyon",16 - 28 min
104,Lilienblum St. Rishon LeTsiyon,18 - 35 min
105,Shlomo Eliraz St. Rishon LeTsiyon,
106,Mohiliver St. Rishon LeTsiyon,20 - 35 min
107,HaShomer St. Rishon LeTsiyon,18 - 35 min
108,Weizbard St. Rishon LeTsiyon,20 - 40 min
109,Shalom Shabazi St. Rishon LeTsiyon,20 - 35 min
110,Ha-Zohar St. Petah Tikva,40 min - 1 hr 5 min
111,Yerushalayim Ave Lod,18 - 40 min
112,"Sderot Johana Jabotinsky  58,Beersheba",1 hr - 1 hr 40 min
113,Yakinton St. Lod,20 - 45 min
114,"Sderot Shlomo HaMelech  63,Lod",20 - 40 min
115,"Simkha St.  45,Tel Aviv-Yafo",30 - 55 min
116,"Maale Ha-Gat St.  15,Ashkelon",35 min - 1 hr 5 min
117,"Uzi Hitman St.  11,Netanya",1 hr 5 min - 1 hr 40 min
118,"Lubman St.  5,Rishon LeTsiyon",18 - 35 min
119,Arye Refael St. Rishon LeTsiyon,20 - 40 min
120,Gevim St. Rishon LeTsiyon,18 - 30 min
121,Sharet St. Netanya,1 hr 10 min - 1 hr 50 min
122,"Brandeis St.  11,Rishon LeTsiyon",22 - 40 min
123,"Shalom Aleichem St.  9,Rishon LeTsiyon",16 - 28 min
124,Sderot Shlomo HaMelech Lod,
125,Ha-Hityashvut St. Rishon LeTsiyon,20 - 40 min
126,"Nitsa Boulevard  34,Netanya",1 hr 10 min - 1 hr 50 min
