,price,address,property_type,num_rooms,floor_num,meters,parking,street,city,ppm,driving_time,public_trans_time,public_trans_option,min_driving_time,max_driving_time,public_trans_time_min,number_trans_trips,driving_time_from_parents,driving_time_from_parents_min,driving_time_from_parents_max,parking?,meters_per_room
0,2790000,Shlomo Kaplanski St. Rishon LeTsiyon,Apartment,5.0,4,125.0,2,Shlomo Kaplanski St.,Rishon LeTsiyon,22320.0,typically 30 min - 1 hr,48 min,190,30.0,60.0,48.0,1,16 - 26 min,16.0,26.0,yes,25.0
1,6000000,King George St. Tel Aviv-Yafo,Apartment,4.0,1,110.0,0,King George St.,Tel Aviv-Yafo,54545.454545454544,typically 9 - 24 min,12 min,8,9.0,24.0,12.0,1,40 min - 1 hr 15 min,40.0,75.0,no,27.5
2,11900000,"Rothschild Boulevard  17,Tel Aviv-Yafo",Apartment,5.0,6,165.0,4,Rothschild Boulevard  17,Tel Aviv-Yafo,72121.21212121213,typically 12 - 30 min,17 min,23,12.0,30.0,17.0,1,35 min - 1 hr 5 min,35.0,65.0,yes,33.0
3,5420000,"Yoseftal St.  11,Bat Yam",Rooftop apt.,7.0,4,140.0,1,Yoseftal St.,Bat Yam,38714.28571428572,typically 24 min - 1 hr,37 min,6    אשקלון-אשקלון<->הרצליה-הרצליה,24.0,60.0,37.0,2,,,,yes,20.0
4,3750000,Metula St. Ramat Gan,Penthouse,5.0,7,250.0,3,Metula St.,Ramat Gan,15000.0,typically 14 - 40 min,30 min,60,14.0,40.0,30.0,1,,,,yes,50.0
5,6500000,Nachmani St. Tel Aviv-Yafo,Apartment,4.0,2,90.0,0,Nachmani St.,Tel Aviv-Yafo,72222.22222222222,typically 8 - 22 min,14 min,23,8.0,22.0,14.0,1,30 min - 1 hr,30.0,60.0,no,22.5
6,2280000,"Sokolov St.  25,Netanya",Apartment,4.5,8,110.0,1,Sokolov St.,Netanya,20727.272727272728,typically 50 min - 1 hr 40 min,45 min,650,50.0,100.0,45.0,1,,,,yes,24.444444444444443
7,4400000,"Yosef Lapid St.  3,Netanya",Apartment,4.0,11,129.0,1,Yosef Lapid St.,Netanya,34108.52713178295,typically 35 min - 1 hr 15 min,49 min,600,35.0,75.0,49.0,1,,,,yes,32.25
8,5400000,Bnei Binyamin St. Netanya,Mini penthouse,5.0,16,155.0,2,Bnei Binyamin St.,Netanya,34838.709677419356,typically 40 min - 1 hr 15 min,46 min,600,40.0,75.0,46.0,1,1 hr 5 min - 1 hr 50 min,65.0,110.0,yes,31.0
9,6800000,Bnei Binyamin St. Netanya,Penthouse,6.0,9,170.0,3,Bnei Binyamin St.,Netanya,40000.0,typically 40 min - 1 hr 15 min,46 min,600,40.0,75.0,46.0,1,1 hr 5 min - 1 hr 50 min,65.0,110.0,yes,28.333333333333332
10,4500000,"Ehud Manor St.  18,Netanya",New homes,4.0,11,143.0,2,Ehud Manor St.,Netanya,31468.53146853147,typically 35 min - 1 hr 10 min,51 min,600,35.0,70.0,51.0,1,,,,yes,35.75
11,860000,"Gyora Yoseftal St.  22,Ashkelon",Apartment,3.0,1,65.0,0,Gyora Yoseftal St.,Ashkelon,13230.76923076923,typically 1 hr 5 min - 2 hr 10 min,1 hr 18 min,4א    150    304,65.0,130.0,78.0,3,40 min - 1 hr 15 min,40.0,75.0,no,21.666666666666668
12,5950000,"Matityahu Dankner St.  15,Netanya",Penthouse,4.0,7,179.0,2,Matityahu Dankner St.,Netanya,33240.22346368715,typically 40 min - 1 hr 20 min,56 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד,40.0,80.0,56.0,2,1 hr 10 min - 1 hr 50 min,70.0,110.0,yes,44.75
13,1700000,"Sderot Hayim Weizman  67,Netanya",Apartment,3.0,4,77.0,0,Sderot Hayim Weizman  67,Netanya,22077.922077922078,typically 45 min - 1 hr 40 min,42 min,650,45.0,100.0,42.0,1,1 hr 10 min - 1 hr 50 min,70.0,110.0,no,25.666666666666668
14,1690000,Haim Barlev St. Beer Sheva,Garden apt.,5.0,0,120.0,0,Haim Barlev St.,Beer Sheva,14083.333333333334,typically 1 hr 25 min - 2 hr 10 min,1 hr 43 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,85.0,130.0,103.0,2,55 min - 1 hr 25 min,55.0,85.0,no,24.0
15,3490000,"Sderot Menachem Begin  17,Mazkeret Batya",New homes,5.0,2,129.0,2,Sderot Menachem Begin  17,Mazkeret Batya,27054.263565891473,typically 50 min - 1 hr 30 min,1 hr 14 min,26    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,50.0,90.0,74.0,2,14 - 26 min,14.0,26.0,yes,25.8
16,4300000,Dizengoff St. Tel Aviv-Yafo,Duplex,4.0,4,77.0,0,Dizengoff St.,Tel Aviv-Yafo,55844.155844155845,typically 12 - 35 min,14 min,8,12.0,35.0,14.0,1,45 min - 1 hr 20 min,45.0,80.0,no,19.25
17,1540000,"Rabbi Abba Abuchatzira  25,Sderot",Apartment,4.0,7,133.0,1,Rabbi Abba Abuchatzira  25,Sderot,11578.947368421053,typically 1 hr 15 min - 2 hr 30 min,1 hr 36 min,592    378,75.0,150.0,96.0,2,55 min - 1 hr 40 min,55.0,100.0,yes,33.25
18,1330000,"Ha-Palmakh St.  14,Ashkelon",Apartment,4.0,1,80.0,2,Ha-Palmakh St.,Ashkelon,16625.0,typically 55 min - 2 hr,1 hr 25 min,13    אשקלון-אשקלון<->הרצליה-הרצליה,55.0,120.0,85.0,2,40 min - 1 hr 5 min,40.0,65.0,yes,20.0
19,2090000,Ha-Tsipornim St. Bat Yam,Apartment,3.0,1,85.0,0,Ha-Tsipornim St.,Bat Yam,24588.235294117647,typically 20 - 50 min,28 min,240,20.0,50.0,28.0,1,22 - 40 min,22.0,40.0,no,28.333333333333332
20,1400000,Shivat Tsiyon St. Ashkelon,New homes,3.0,1,75.0,1,Shivat Tsiyon St.,Ashkelon,18666.666666666668,typically 1 - 2 hr,1 hr 16 min,150    304,60.0,120.0,76.0,2,40 min - 1 hr 10 min,40.0,70.0,yes,25.0
21,1750000,Shvil Hodshey ha-Shana Ashkelon,Garden apt.,4.0,2,112.0,1,ShvilHodsheyha-Shana,Ashkelon,15625.0,typically 1 - 2 hr,1 hr 24 min,18    אשקלון-אשקלון<->הרצליה-הרצליה,60.0,120.0,84.0,2,,,,yes,28.0
22,1350000,Arieh St. Ashkelon,Apartment,3.5,7,77.0,3,Arieh St.,Ashkelon,17532.467532467534,typically 1 - 2 hr,NA,NA,60.0,120.0,0.0,1,40 min - 1 hr 5 min,40.0,65.0,yes,22.0
23,1950000,HaYain Road Ashkelon,Apartment,4.0,7,129.0,1,HaYain Road,Ashkelon,15116.279069767443,typically 55 min - 2 hr,1 hr 7 min,304,55.0,120.0,67.0,1,,,,yes,32.25
24,1760000,Sderot David Ben Gurion Ashkelon,Apartment,5.0,4,135.0,3,SderotDavidBenGurion,Ashkelon,13037.037037037036,typically 1 - 2 hr,1 hr 10 min,150    304,60.0,120.0,70.0,2,40 min - 1 hr 10 min,40.0,70.0,yes,27.0
25,7000000,"Uzi Hitman St.  21,Netanya",New homes,5.0,9,145.0,3,Uzi Hitman St.,Netanya,48275.862068965514,typically 35 min - 1 hr 10 min,54 min,600,35.0,70.0,54.0,1,,,,yes,29.0
26,845000,Ephraim Tsur St. Ashkelon,Apartment,3.5,1,60.0,1,Ephraim Tsur St.,Ashkelon,14083.333333333334,typically 1 - 2 hr,NA,NA,60.0,120.0,0.0,1,40 min - 1 hr 15 min,40.0,75.0,yes,17.142857142857142
27,2600000,Reuven St. Ashkelon,Apartment,2.0,1,75.0,2,Reuven St.,Ashkelon,34666.666666666664,typically 1 - 2 hr,1 hr 31 min,15    אשקלון-אשקלון<->הרצליה-הרצליה,60.0,120.0,91.0,2,40 min - 1 hr 10 min,40.0,70.0,yes,37.5
28,4750000,Shimon ha-Tarsi St. Tel Aviv-Yafo,Villa,3.0,1,80.0,1,Shimon ha-Tarsi St.,Tel Aviv-Yafo,59375.0,typically 10 - 30 min,15 min,56,10.0,30.0,15.0,1,28 - 55 min,28.0,55.0,yes,26.666666666666668
29,5980000,Sirkin St. Tel Aviv-Yafo,Apartment,4.0,1,95.0,0,Sirkin St.,Tel Aviv-Yafo,62947.36842105263,typically 12 - 35 min,16 min,8,12.0,35.0,16.0,1,40 min - 1 hr 15 min,40.0,75.0,no,23.75
30,5480000,HaYarkon St. Tel Aviv-Yafo,New homes,3.0,2,70.0,0,HaYarkon St.,Tel Aviv-Yafo,78285.71428571429,typically 12 - 35 min,37 min 2.9 km,705,12.0,35.0,,1,,,,no,23.333333333333332
31,2100000,Ha-Tsiyonut St. Holon,Apartment,4.0,7,95.0,1,Ha-Tsiyonut St.,Holon,22105.263157894737,typically 22 - 55 min,36 min,171,22.0,55.0,36.0,1,24 - 40 min,24.0,40.0,yes,23.75
32,2250000,Simkha Yaakobzon St. Rishon LeTsiyon,Apartment,4.0,1,106.0,1,Simkha Yaakobzon St.,Rishon LeTsiyon,21226.415094339623,typically 28 min - 1 hr,41 min,193,28.0,60.0,41.0,1,22 - 45 min,22.0,45.0,yes,26.5
33,2720000,Rambam St. Tel Aviv-Yafo,Apartment,2.5,1,54.0,0,Rambam St.,Tel Aviv-Yafo,50370.37037037037,typically 14 - 35 min,16 min,23,14.0,35.0,16.0,1,35 min - 1 hr 5 min,35.0,65.0,no,21.6
34,2640000,"Ha-Kormim St.  14,Rishon LeTsiyon",Apartment,4.0,4,95.0,1,Ha-Kormim St.,Rishon LeTsiyon,27789.473684210527,typically 28 min - 1 hr,36 min,190,28.0,60.0,36.0,1,18 - 35 min,18.0,35.0,yes,23.75
35,2430000,"HaKukiya St.  2,Rishon LeTsiyon",New homes,4.0,7,96.0,1,HaKukiya St.,Rishon LeTsiyon,25312.5,typically 30 min - 1 hr 5 min,44 min,193,30.0,65.0,44.0,1,,,,yes,24.0
36,7350000,Kaf Tet be-November St. Jerusalem,Apartment,5.0,2,144.0,1,Kaf Tet be-November St.,Jerusalem,51041.666666666664,typically 1 hr 5 min - 1 hr 50 min,1 hr 20 min,15    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,65.0,110.0,80.0,2,50 min - 1 hr 40 min,50.0,100.0,yes,28.8
37,6700000,Derech HaZayit Kfar Shmuel,Apartment,6.0,3,350.0,3,,Kfar Shmuel,19142.85714285714,typically 45 min - 1 hr 15 min,1 hr 10 min,433    274,45.0,75.0,70.0,2,20 - 35 min,20.0,35.0,yes,58.333333333333336
38,2550000,Shulamit Aloni St. Rishon LeTsiyon,Villa,3.0,13,70.0,1,Shulamit Aloni St.,Rishon LeTsiyon,36428.57142857143,typically 26 - 50 min,47 min,3    190,26.0,50.0,47.0,2,18 - 35 min,18.0,35.0,yes,23.333333333333332
39,2990000,Trumpeldor St. Rishon LeTsiyon,Apartment,4.0,5,115.0,1,Trumpeldor St.,Rishon LeTsiyon,26000.0,typically 28 - 55 min,45 min,193,28.0,55.0,45.0,1,18 - 35 min,18.0,35.0,yes,28.75
40,2500000,Natan Bernitski St. Rishon LeTsiyon,Penthouse,4.0,5,100.0,1,Natan Bernitski St.,Rishon LeTsiyon,25000.0,typically 35 min - 1 hr 5 min,47 min,190,35.0,65.0,47.0,1,16 - 28 min,16.0,28.0,yes,25.0
41,5100000,Belkind St. Rishon LeTsiyon,Apartment,9.0,3,345.0,2,Belkind St.,Rishon LeTsiyon,14782.608695652174,typically 30 min - 1 hr 10 min,43 min,193,30.0,70.0,43.0,1,20 - 35 min,20.0,35.0,yes,38.333333333333336
42,3790000,Harimon St. Rishon LeTsiyon,Cottage/house,5.0,4,216.0,1,Harimon St.,Rishon LeTsiyon,17546.296296296296,typically 30 min - 1 hr 5 min,42 min,190,30.0,65.0,42.0,1,16 - 28 min,16.0,28.0,yes,43.2
43,3550000,Natan Bernitski St. Rishon LeTsiyon,Rooftop apt.,4.0,7,106.0,1,Natan Bernitski St.,Rishon LeTsiyon,33490.56603773585,typically 35 min - 1 hr 5 min,47 min,190,35.0,65.0,47.0,1,16 - 28 min,16.0,28.0,yes,26.5
44,2370000,Abarbanel St. Rishon LeTsiyon,Penthouse,4.0,1,237.0,2,Abarbanel St.,Rishon LeTsiyon,10000.0,typically 30 min - 1 hr,44 min,193,30.0,60.0,44.0,1,22 - 45 min,22.0,45.0,yes,59.25
45,1990000,Tel Hai St. Rishon LeTsiyon,Apartment,4.0,1,92.0,0,Tel Hai St.,Rishon LeTsiyon,21630.434782608696,typically 28 - 55 min,44 min,3    190,28.0,55.0,44.0,2,18 - 35 min,18.0,35.0,no,23.0
46,2775000,Hannah U-Michael Levin St. Rishon LeTsiyon,New homes,4.5,6,120.0,2,Hannah U-Michael Levin St.,Rishon LeTsiyon,23125.0,typically 28 min - 1 hr,46 min,193,28.0,60.0,46.0,1,22 - 40 min,22.0,40.0,yes,26.666666666666668
