,address,driving_time,public_trans_time,public_trans_option
0,Shlomo Kaplanski St. Rishon LeTsiyon,typically 30 min - 1 hr,48 min,190
1,King George St. Tel Aviv-Yafo,typically 9 - 24 min,12 min,8
2,"Rothschild Boulevard  17,Tel Aviv-Yafo",typically 12 - 30 min,17 min,23
3,"Yoseftal St.  11,Bat Yam",typically 24 min - 1 hr,37 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
4,Metula St. Ramat Gan,typically 14 - 40 min,30 min,60
5,Nachmani St. Tel Aviv-Yafo,typically 8 - 22 min,14 min,23
6,"Sokolov St.  25,Netanya",typically 50 min - 1 hr 40 min,45 min,650
7,"Yosef Lapid St.  3,Netanya",typically 35 min - 1 hr 15 min,49 min,600
8,Bnei Binyamin St. Netanya,typically 40 min - 1 hr 15 min,46 min,600
9,Bnei Binyamin St. Netanya,typically 40 min - 1 hr 15 min,46 min,600
10,"Ehud Manor St.  18,Netanya",typically 35 min - 1 hr 10 min,51 min,600
11,"Gyora Yoseftal St.  22,Ashkelon",typically 1 hr 5 min - 2 hr 10 min,1 hr 18 min,4א    150    304
12,"Matityahu Dankner St.  15,Netanya",typically 40 min - 1 hr 20 min,56 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
13,"Sderot Hayim Weizman  67,Netanya",typically 45 min - 1 hr 40 min,42 min,650
14,Haim Barlev St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 43 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
15,"Sderot Menachem Begin  17,Mazkeret Batya",typically 50 min - 1 hr 30 min,1 hr 14 min,26    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
16,Dizengoff St. Tel Aviv-Yafo,typically 12 - 35 min,14 min,8
17,"Rabbi Abba Abuchatzira  25,Sderot",typically 1 hr 15 min - 2 hr 30 min,1 hr 36 min,592    378
18,"Ha-Palmakh St.  14,Ashkelon",typically 55 min - 2 hr,1 hr 25 min,13    אשקלון-אשקלון<->הרצליה-הרצליה
19,Ha-Tsipornim St. Bat Yam,typically 20 - 50 min,28 min,240
20,Shivat Tsiyon St. Ashkelon,typically 1 - 2 hr,1 hr 16 min,150    304
21,Shvil Hodshey ha-Shana Ashkelon,typically 1 - 2 hr,1 hr 24 min,18    אשקלון-אשקלון<->הרצליה-הרצליה
22,Arieh St. Ashkelon,typically 1 - 2 hr,NA,NA
23,HaYain Road Ashkelon,typically 55 min - 2 hr,1 hr 7 min,304
24,Sderot David Ben Gurion Ashkelon,typically 1 - 2 hr,1 hr 10 min,150    304
25,"Uzi Hitman St.  21,Netanya",typically 35 min - 1 hr 10 min,54 min,600
26,Ephraim Tsur St. Ashkelon,typically 1 - 2 hr,NA,NA
27,Reuven St. Ashkelon,typically 1 - 2 hr,1 hr 31 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
28,Shimon ha-Tarsi St. Tel Aviv-Yafo,typically 10 - 30 min,15 min,56
29,Sirkin St. Tel Aviv-Yafo,typically 12 - 35 min,16 min,8
30,HaYarkon St. Tel Aviv-Yafo,typically 12 - 35 min,37 min 2.9 km,705
31,Ha-Tsiyonut St. Holon,typically 22 - 55 min,36 min,171
32,Simkha Yaakobzon St. Rishon LeTsiyon,typically 28 min - 1 hr,41 min,193
33,Rambam St. Tel Aviv-Yafo,typically 14 - 35 min,16 min,23
34,"Ha-Kormim St.  14,Rishon LeTsiyon",typically 28 min - 1 hr,36 min,190
35,"HaKukiya St.  2,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,44 min,193
36,Kaf Tet be-November St. Jerusalem,typically 1 hr 5 min - 1 hr 50 min,1 hr 20 min,15    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
37,Derech HaZayit Kfar Shmuel,typically 45 min - 1 hr 15 min,1 hr 10 min,433    274
38,Shulamit Aloni St. Rishon LeTsiyon,typically 26 - 50 min,47 min,3    190
39,Trumpeldor St. Rishon LeTsiyon,typically 28 - 55 min,45 min,193
40,Natan Bernitski St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,47 min,190
41,Belkind St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,43 min,193
42,Harimon St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,42 min,190
43,Natan Bernitski St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,47 min,190
44,Abarbanel St. Rishon LeTsiyon,typically 30 min - 1 hr,44 min,193
45,Tel Hai St. Rishon LeTsiyon,typically 28 - 55 min,44 min,3    190
46,Hannah U-Michael Levin St. Rishon LeTsiyon,typically 28 min - 1 hr,46 min,193
47,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
48,"Ha-Brosh St.  3,Beer Yaakov",typically 30 min - 1 hr 15 min,43 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
49,"Shalom Aleichem St.  24,Tel Aviv-Yafo",typically 10 - 30 min,18 min,8
50,"Tiltan St.  6,Tiberias",typically 1 hr 50 min - 4 hr 10 min,NA,NA
51,"Tankhum St.  15,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,39 min,193
