,price,address,property_type,num_rooms,floor_num,meters,parking,street,city
0,2790000,Shlomo Kaplanski St. Rishon LeTsiyon,Apartment,5,4,125,2,Shlomo Kaplanski St.,Rishon LeTsiyon
1,6000000,King George St. Tel Aviv-Yafo,Apartment,4,1,110,NA,King George St.,Tel Aviv-Yafo
2,11900000,"Rothschild Boulevard  17,Tel Aviv-Yafo",Apartment,5,6,165,4,Rothschild Boulevard  17,Tel Aviv-Yafo
3,5420000,"Yoseftal St.  11,Bat Yam",Rooftop apt.,7,4,140,1,Yoseftal St.,Bat Yam
4,3750000,Metula St. Ramat Gan,Penthouse,5,7,250,3,Metula St.,Ramat Gan
5,6500000,Nachmani St. Tel Aviv-Yafo,Apartment,4,2,90,NA,Nachmani St.,Tel Aviv-Yafo
6,2280000,"Sokolov St.  25,Netanya",Apartment,4.5,8,110,1,Sokolov St.,Netanya
7,4400000,"Yosef Lapid St.  3,Netanya",Apartment,4,11,129,1,Yosef Lapid St.,Netanya
8,5400000,Bnei Binyamin St. Netanya,Mini penthouse,5,16,155,2,Bnei Binyamin St.,Netanya
9,6800000,Bnei Binyamin St. Netanya,Penthouse,6,9,170,3,Bnei Binyamin St.,Netanya
10,4500000,"Ehud Manor St.  18,Netanya",New homes,4,11,143,2,Ehud Manor St.,Netanya
11,860000,"Gyora Yoseftal St.  22,Ashkelon",Apartment,3,1,65,NA,Gyora Yoseftal St.,Ashkelon
12,5950000,"Matityahu Dankner St.  15,Netanya",Penthouse,4,7,179,2,Matityahu Dankner St.,Netanya
13,1700000,"Sderot Hayim Weizman  67,Netanya",Apartment,3,4,77,NA,Sderot Hayim Weizman  67,Netanya
14,1690000,Haim Barlev St. Beer Sheva,Garden apt.,5,0,120,NA,Haim Barlev St.,Beer Sheva
15,3490000,"Sderot Menachem Begin  17,Mazkeret Batya",New homes,5,2,129,2,Sderot Menachem Begin  17,Mazkeret Batya
16,4300000,Dizengoff St. Tel Aviv-Yafo,Duplex,4,4,77,NA,Dizengoff St.,Tel Aviv-Yafo
17,1540000,"Rabbi Abba Abuchatzira  25,Sderot",Apartment,4,7,133,1,Rabbi Abba Abuchatzira  25,Sderot
18,1330000,"Ha-Palmakh St.  14,Ashkelon",Apartment,4,1,80,2,Ha-Palmakh St.,Ashkelon
19,2090000,Ha-Tsipornim St. Bat Yam,Apartment,3,1,85,NA,Ha-Tsipornim St.,Bat Yam
20,1400000,Shivat Tsiyon St. Ashkelon,New homes,3,1,75,1,Shivat Tsiyon St.,Ashkelon
21,1750000,Shvil Hodshey ha-Shana Ashkelon,Garden apt.,4,2,112,1,ShvilHodsheyha-Shana,Ashkelon
22,1350000,Arieh St. Ashkelon,Apartment,3.5,7,77,3,Arieh St.,Ashkelon
23,1950000,HaYain Road Ashkelon,Apartment,4,7,129,1,HaYain Road,Ashkelon
24,1760000,Sderot David Ben Gurion Ashkelon,Apartment,5,4,135,3,SderotDavidBenGurion,Ashkelon
25,7000000,"Uzi Hitman St.  21,Netanya",New homes,5,9,145,3,Uzi Hitman St.,Netanya
26,845000,Ephraim Tsur St. Ashkelon,Apartment,3.5,1,60,1,Ephraim Tsur St.,Ashkelon
27,2600000,Reuven St. Ashkelon,Apartment,2,1,75,2,Reuven St.,Ashkelon
28,4750000,Shimon ha-Tarsi St. Tel Aviv-Yafo,Villa,3,1,80,1,Shimon ha-Tarsi St.,Tel Aviv-Yafo
29,5980000,Sirkin St. Tel Aviv-Yafo,Apartment,4,1,95,NA,Sirkin St.,Tel Aviv-Yafo
30,5480000,HaYarkon St. Tel Aviv-Yafo,New homes,3,2,70,NA,HaYarkon St.,Tel Aviv-Yafo
31,2100000,Ha-Tsiyonut St. Holon,Apartment,4,7,95,1,Ha-Tsiyonut St.,Holon
32,2250000,Simkha Yaakobzon St. Rishon LeTsiyon,Apartment,4,1,106,1,Simkha Yaakobzon St.,Rishon LeTsiyon
33,2720000,Rambam St. Tel Aviv-Yafo,Apartment,2.5,1,54,NA,Rambam St.,Tel Aviv-Yafo
34,2640000,"Ha-Kormim St.  14,Rishon LeTsiyon",Apartment,4,4,95,1,Ha-Kormim St.,Rishon LeTsiyon
35,2430000,"HaKukiya St.  2,Rishon LeTsiyon",New homes,4,7,96,1,HaKukiya St.,Rishon LeTsiyon
36,7350000,Kaf Tet be-November St. Jerusalem,Apartment,5,2,144,1,Kaf Tet be-November St.,Jerusalem
37,6700000,Derech HaZayit Kfar Shmuel,Apartment,6,3,350,3,NA,NA
38,2550000,Shulamit Aloni St. Rishon LeTsiyon,Villa,3,13,70,1,Shulamit Aloni St.,Rishon LeTsiyon
39,2990000,Trumpeldor St. Rishon LeTsiyon,Apartment,4,5,115,1,Trumpeldor St.,Rishon LeTsiyon
40,2500000,Natan Bernitski St. Rishon LeTsiyon,Penthouse,4,5,100,1,Natan Bernitski St.,Rishon LeTsiyon
41,5100000,Belkind St. Rishon LeTsiyon,Apartment,9,3,345,2,Belkind St.,Rishon LeTsiyon
42,3790000,Harimon St. Rishon LeTsiyon,Cottage/house,5,4,216,1,Harimon St.,Rishon LeTsiyon
43,3550000,Natan Bernitski St. Rishon LeTsiyon,Rooftop apt.,4,7,106,1,Natan Bernitski St.,Rishon LeTsiyon
44,2370000,Abarbanel St. Rishon LeTsiyon,Penthouse,4,1,237,2,Abarbanel St.,Rishon LeTsiyon
45,1990000,Tel Hai St. Rishon LeTsiyon,Apartment,4,1,92,NA,Tel Hai St.,Rishon LeTsiyon
46,2775000,Hannah U-Michael Levin St. Rishon LeTsiyon,New homes,4.5,6,120,2,Hannah U-Michael Levin St.,Rishon LeTsiyon
47,1950000,Balfour St. Bat Yam,Apartment,3,4,90,NA,Balfour St.,Bat Yam
48,3280000,"Ha-Brosh St.  3,Beer Yaakov",Apartment,5,10,120,2,Ha-Brosh St.,Beer Yaakov
49,4190000,"Shalom Aleichem St.  24,Tel Aviv-Yafo",Apartment,3,4,54,NA,Shalom Aleichem St.,Tel Aviv-Yafo
50,7000000,"Tiltan St.  6,Tiberias",Apartment,6,3,260,3,Tiltan St.,Tiberias
51,3600000,"Tankhum St.  15,Rishon LeTsiyon",New homes,5,7,146,3,Tankhum St.,Rishon LeTsiyon
52,1890000,"Olei HaGardom St.  15,Rishon LeTsiyon",Villa,3,3,94,1,Olei HaGardom St.,Rishon LeTsiyon
53,2150000,Eisenband St. Rishon LeTsiyon,Apartment,4.5,3,105,1,Eisenband St.,Rishon LeTsiyon
54,2150000,Ein ha-Kore St. Rishon LeTsiyon,Apartment,2.5,1,73,1,Ein ha-Kore St.,Rishon LeTsiyon
55,3400000,Ein ha-Kore St. Rishon LeTsiyon,Apartment,5.5,5,145,1,Ein ha-Kore St.,Rishon LeTsiyon
56,2900000,Abarbanel St. Rishon LeTsiyon,New homes,6,5,140,1,Abarbanel St.,Rishon LeTsiyon
57,2650000,Tirat Tsvi St. Rishon LeTsiyon,Apartment,4,3,92,1,Tirat Tsvi St.,Rishon LeTsiyon
58,3750000,Vigodski St. Rishon LeTsiyon,Apartment,5,4,160,2,Vigodski St.,Rishon LeTsiyon
59,1520000,"Yitshak Grinboim St.  34,Netanya",Rooftop apt.,3,3,57,NA,Yitshak Grinboim St.,Netanya
60,2090000,Rambam St. Netanya,Apartment,4,5,96,1,Rambam St.,Netanya
61,4090000,"Derech Dganya  48,Netanya",New homes,4,0,90,1,Derech Dganya  48,Netanya
62,2490000,"HaRav Kuk St.  29,Netanya",Apartment,4.5,5,125,1,HaRav Kuk St.,Netanya
63,1990000,"Yehuda ha-Nasi St.  27,Netanya",Garden apt.,4,0,100,NA,Yehuda ha-Nasi St.,Netanya
64,2500000,"Derech Ben Gurion  89,Bat Yam",Apartment,2.5,1,75,NA,Derech Ben Gurion  89,Bat Yam
65,3050000,"Alonim St.  18,Netanya",Apartment,4,13,118,2,Alonim St.,Netanya
66,4790000,"Menashe Kapra St.  38,Rehovot",New homes,7,6,165,1,Menashe Kapra St.,Rehovot
67,2790000,Ha-Zohar St. Petah Tikva,Apartment,4,0,120,1,Ha-Zohar St.,Petah Tikva
68,1750000,Beit Lekhem St. Rishon LeTsiyon,Mini penthouse,3.5,3,95,1,Beit Lekhem St.,Rishon LeTsiyon
69,2000000,Pnina U-Moshe St. Rishon LeTsiyon,Garden apt.,5,1,120,1,Pnina U-Moshe St.,Rishon LeTsiyon
70,1850000,HaRav Uziel St. Rishon LeTsiyon,Apartment,4,1,100,NA,HaRav Uziel St.,Rishon LeTsiyon
71,1795000,Rothschild St. Rishon LeTsiyon,New homes,3,2,60,NA,Rothschild St.,Rishon LeTsiyon
72,7000000,HaShomer St. Rishon LeTsiyon,Apartment,6,2,240,2,HaShomer St.,Rishon LeTsiyon
73,2600000,HaGdud Haivri St. Rishon LeTsiyon,Apartment,5,3,120,3,HaGdud Haivri St.,Rishon LeTsiyon
74,4650000,Ha-Hityashvut St. Rishon LeTsiyon,Villa,5,8,161,2,Ha-Hityashvut St.,Rishon LeTsiyon
75,1750000,Alkalai St. Rishon LeTsiyon,Rooftop apt.,4,4,95,2,Alkalai St.,Rishon LeTsiyon
76,3890000,Carmel St. Rehovot,Duplex,5,17,116,2,Carmel St.,Rehovot
77,3600000,Kheil ha-Khimush St. Rishon LeTsiyon,Apartment,5,5,138,2,Kheil ha-Khimush St.,Rishon LeTsiyon
78,1990000,Ha-Tikva St. Rishon LeTsiyon,Penthouse,4,3,111,1,Ha-Tikva St.,Rishon LeTsiyon
79,1720000,HaBen HaRishon St. Rishon LeTsiyon,Apartment,3,1,80,1,HaBen HaRishon St.,Rishon LeTsiyon
80,1860000,Tchernikhovski St. Rishon LeTsiyon,Apartment,4,3,110,NA,Tchernikhovski St.,Rishon LeTsiyon
81,2450000,Khavakuk St. Rishon LeTsiyon,Apartment,4,4,103,1,Khavakuk St.,Rishon LeTsiyon
82,1940000,Ruppin St. Rishon LeTsiyon,New homes,4,3,114,NA,Ruppin St.,Rishon LeTsiyon
83,2250000,HaKishon St. Rishon LeTsiyon,Rooftop apt.,5,4,125,1,HaKishon St.,Rishon LeTsiyon
84,3500000,Yeverboim St. Rishon LeTsiyon,Apartment,5,4,125,2,Yeverboim St.,Rishon LeTsiyon
85,4500000,Shaar Hagolan St. Rishon LeTsiyon,Apartment,5,1,180,NA,Shaar Hagolan St.,Rishon LeTsiyon
86,2115000,Rambam St. Rishon LeTsiyon,Rooftop apt.,4,5,104,2,Rambam St.,Rishon LeTsiyon
87,1665000,Amzaleg St. Rishon LeTsiyon,New homes,3,4,72,NA,Amzaleg St.,Rishon LeTsiyon
88,1950000,Lubman St. Rishon LeTsiyon,Rooftop apt.,3.5,1,77,1,Lubman St.,Rishon LeTsiyon
89,1790000,Vigodski St. Rishon LeTsiyon,Apartment,4,4,100,1,Vigodski St.,Rishon LeTsiyon
90,3390000,"Berl Katznelson St.  33,Rishon LeTsiyon",Apartment,5,4,134,1,Berl Katznelson St.,Rishon LeTsiyon
91,1800000,David Wolffsohn St. Rishon LeTsiyon,Apartment,2.5,0,89,NA,David Wolffsohn St.,Rishon LeTsiyon
92,2650000,Imber St. Rishon LeTsiyon,New homes,4.5,1,115,2,Imber St.,Rishon LeTsiyon
93,1800000,Binyamin St. Rehovot,Rooftop apt.,3.5,1,93,NA,Binyamin St.,Rehovot
94,2800000,Abarbanel St. Rishon LeTsiyon,Apartment,5,6,180,1,Abarbanel St.,Rishon LeTsiyon
95,2650000,Imber St. Rishon LeTsiyon,Apartment,4.5,1,120,1,Imber St.,Rishon LeTsiyon
96,1800000,Max Nordau St. Rehovot,Mini penthouse,3,3,87,NA,Max Nordau St.,Rehovot
97,2590000,Ha-Iris St. Rishon LeTsiyon,New homes,5,1,118,1,Ha-Iris St.,Rishon LeTsiyon
98,3550000,Ha-Akhim Ostashinski St. Rishon LeTsiyon,Apartment,6,10,146,2,Ha-Akhim Ostashinski St.,Rishon LeTsiyon
99,1790000,Kiryat Sefer St. Rishon LeTsiyon,Apartment,2.5,2,75,NA,Kiryat Sefer St.,Rishon LeTsiyon
100,4000000,Jerusalem St. Rishon LeTsiyon,Apartment,6,7,180,2,Jerusalem St.,Rishon LeTsiyon
101,1800000,Kiryat Sefer St. Rishon LeTsiyon,Apartment,2.5,2,80,NA,Kiryat Sefer St.,Rishon LeTsiyon
102,12000000,HaMegila St. Rishon LeTsiyon,New homes,8,3,580,2,HaMegila St.,Rishon LeTsiyon
103,2190000,"HaPardes HaRishon St.  31,Rishon LeTsiyon",Penthouse,4,1,95,NA,HaPardes HaRishon St.,Rishon LeTsiyon
104,2370000,Lilienblum St. Rishon LeTsiyon,Apartment,4,1,90,1,Lilienblum St.,Rishon LeTsiyon
105,2400000,Shlomo Eliraz St. Rishon LeTsiyon,Villa,3,7,87,2,Shlomo Eliraz St.,Rishon LeTsiyon
106,2250000,Mohiliver St. Rishon LeTsiyon,Apartment,4,7,114,1,Mohiliver St.,Rishon LeTsiyon
107,5600000,HaShomer St. Rishon LeTsiyon,New homes,4,1,110,1,HaShomer St.,Rishon LeTsiyon
108,2090000,Weizbard St. Rishon LeTsiyon,Apartment,4,2,110,1,Weizbard St.,Rishon LeTsiyon
